Marca temporal,Confirmación inicial,  ¿Con qué frecuencia asiste al gimnasio?  ,  ¿Cuánto tiempo lleva asistiendo a este gimnasio?  ,  ¿Cómo suele consultar o confirmar el estado de su membresía?  ,  ¿Con qué frecuencia ha tenido dificultad para conocer la fecha de vencimiento de su membresía?  ,¿Con qué frecuencia ha debido esperar para confirmar que un pago fue registrado correctamente?  ,¿Qué medio prefiere para recibir avisos sobre el vencimiento de su membresía?  ,¿Qué tan fácil le resulta inscribirse o actualizar sus datos en el gimnasio?  ,"¿Qué tan clara considera la información sobre los planes, precios y condiciones de las membresías?  ",¿Qué tan satisfecho(a) está con la atención recibida por parte del personal del gimnasio?  ,¿Cómo se registra normalmente su ingreso al gimnasio?  ,¿Con qué frecuencia consulta su rutina o solicita cambios al entrenador?  ,¿Qué información le gustaría poder consultar en el futuro sistema?  ,¿Ha tenido dificultades al comprar productos dentro del gimnasio?  ,¿Qué aspecto considera que debería mejorarse primero?  ,¿Qué tan importante considera la privacidad de sus datos personales?  ,Escriba un comentario opcional sobre su experiencia en el gimnasio. No incluya nombres ni datos de salud.  ,"¿Qué cambio facilitaría más su experiencia con la membresía, los pagos o el registro de asistencia?  ",¿Qué función adicional le gustaría encontrar en el futuro sistema?  ,Nombre de participante,Columna 21
31/08/2026 23:30:30,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,Casi nunca,WhatsApp,Difícil,Poco clara,Insatisfecho(a),Aviso verbal,Una vez al mes,Pagos realizados,Precio poco claro o diferente,Atención al cliente,Importante,ninguna,mejor control de pagos,alertas de pagos demembresia,,
31/08/2026 23:35:10,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Tarjeta o credencial,Nunca,Nunca,Correo electrónico,Fácil,Clara,Satisfecho(a),Tarjeta o credencial,Varias veces por semana,Rutina asignada,No he tenido dificultades,Rutinas,Muy importante,Buen Gimnasio lleno de chicas guapísimas pero sobrerodo la atención la comunicación que son de vital importancia en esta época eso lo agradezco muchísimo ,Registro de asistencia ,,,
31/08/2026 23:35:21,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,Menos de 1 mes,Mensaje por WhatsApp u otro medio,A veces,A veces,WhatsApp,Difícil,Poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Una vez al mes,Pagos realizados,Otra dificultad,Pagos,Importante,normal,mejorar la gestión de los pagos,alertas de pago ,,
31/08/2026 23:35:52,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,A veces,A veces,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Satisfecho(a),Cuaderno o lista impresa,Una vez al mes,Rutina asignada,No he tenido dificultades,Membresías,Muy importante,Ninguno ,Pagos ,Alimentación en base a mí rutina ,,
31/08/2026 23:47:01,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,De 7 a 12 meses,Mensaje por WhatsApp u otro medio,A veces,A veces,Notificación del sistema,Fácil,Clara,Satisfecho(a),Sistema digital,Una vez por semana,Rutina asignada,No he tenido dificultades,Rutinas,Importante,muy buena,mejor manejo de rutinas con los alumnos,alertas de pago s y rutinas,,
31/08/2026 23:50:54,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,A veces,A veces,WhatsApp,Fácil,Clara,Satisfecho(a),Cuaderno o lista impresa,Varias veces por semana,Pagos realizados,Precio poco claro o diferente,Pagos,Importante,bien,registro de pagos en algo que no sea a papel,reposrtes de los pagos ,,
31/08/2026 23:51:05,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,Casi nunca,Correo electrónico,Fácil,Clara,Satisfecho(a),Sistema digital,Una vez al mes,Rutina asignada,No he tenido dificultades,Rutinas,Muy importante,,Los pagos ,,,
31/08/2026 23:54:34,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,A veces,A veces,WhatsApp,Difícil,Clara,Ni satisfecho(a) ni insatisfecho(a),No se registra,Una vez al mes,Pagos realizados,Demora o error en el registro o pago,Membresías,Importante,todo en orden,ninguno,ninguno,,
31/08/2026 23:56:46,Acepto participar voluntariamente y declaro tener 18 años o más.,4 a 5 veces por semana,De 1 a 6 meses,No suele verificarlo,Casi nunca,Casi nunca,Aviso presencial,Ni fácil ni difícil,Clara,Satisfecho(a),No se registra,Cada quince días,Registro de asistencia,Precio poco claro o diferente,Comunicación y avisos,Importante,mala,mejorar la atencion del cliente ,reportes o avisos ,,
31/08/2026 23:58:25,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi siempre,Casi siempre,Aviso presencial,Fácil,Clara,Muy satisfecho(a),Cuaderno o lista impresa,Una vez por semana,Registro de asistencia,Falta de disponibilidad,Atención al cliente,Importante,muy buena,mejor gestion en la asistencia ,alertas de avisos o novedades que puedan existir,,
